iter	Passed	Remaining
0	0	469
1	0	426
2	1	367
3	1	339
4	1	334
5	1	319
6	2	311
7	2	300
8	2	292
9	2	293
10	3	289
11	3	285
12	3	282
13	3	278
14	4	275
15	4	272
16	4	271
17	4	269
18	5	266
19	5	264
20	5	261
21	5	261
22	6	260
23	6	259
24	6	258
25	6	257
26	7	257
27	7	256
28	7	255
29	7	255
30	8	254
31	8	254
32	8	254
33	8	252
34	9	251
35	9	250
36	9	249
37	9	248
38	10	247
39	10	247
40	10	246
41	10	244
42	10	244
43	11	242
44	11	241
45	11	241
46	11	241
47	12	240
48	12	241
49	12	240
50	12	241
51	13	240
52	13	241
53	13	241
54	14	241
55	14	240
56	14	239
57	14	239
58	14	238
59	15	238
60	15	238
61	15	237
62	15	237
63	16	237
64	16	236
65	16	237
66	17	237
67	17	236
68	17	236
69	17	235
70	17	235
71	18	234
72	18	235
73	18	234
74	18	233
75	19	233
76	19	233
77	19	232
78	19	232
79	20	231
80	20	231
81	20	231
82	20	229
83	21	229
84	21	228
85	21	228
86	21	228
87	21	227
88	22	227
89	22	227
90	22	226
91	22	226
92	23	225
93	23	225
94	23	225
95	23	225
96	24	224
97	24	224
98	24	223
99	24	224
100	25	223
101	25	223
102	25	223
103	25	222
104	26	222
105	26	221
106	26	221
107	26	221
108	27	221
109	27	221
110	27	220
111	27	220
112	28	220
113	28	220
114	28	220
115	28	219
116	29	219
117	29	218
118	29	218
119	29	218
120	30	218
121	30	217
122	30	217
123	30	217
124	31	217
125	31	216
126	31	216
127	31	216
128	32	216
129	32	216
130	32	215
131	32	215
132	33	215
133	33	214
134	33	214
135	33	214
136	33	213
137	34	213
138	34	213
139	34	212
140	34	212
141	34	211
142	35	210
143	35	210
144	35	210
145	35	210
146	36	209
147	36	209
148	36	209
149	36	209
150	37	208
151	37	208
152	37	207
153	37	207
154	38	207
155	38	207
156	38	206
157	38	206
158	39	206
159	39	206
160	39	205
161	39	204
162	39	205
163	40	204
164	40	204
165	40	204
166	40	204
167	41	203
168	41	203
169	41	203
170	41	202
171	42	202
172	42	202
173	42	201
174	42	201
175	42	201
176	43	201
177	43	201
178	43	200
179	44	200
180	44	200
181	44	200
182	44	199
183	45	199
184	45	199
185	45	198
186	45	198
187	45	198
188	46	198
189	46	197
190	46	197
191	46	197
192	47	196
193	47	196
194	47	196
195	47	196
196	48	195
197	48	195
198	48	195
199	48	195
200	49	194
201	49	194
202	49	194
203	49	193
204	49	193
205	50	193
206	50	193
207	50	193
208	50	192
209	51	192
210	51	192
211	51	192
212	52	192
213	52	191
214	52	191
215	52	191
216	52	191
217	53	190
218	53	190
219	53	190
220	53	189
221	54	189
222	54	189
223	54	189
224	54	188
225	55	188
226	55	188
227	55	187
228	55	187
229	56	187
230	56	187
231	56	187
232	56	186
233	56	186
234	57	186
235	57	185
236	57	185
237	57	185
238	58	185
239	58	184
240	58	184
241	58	184
242	59	184
243	59	183
244	59	183
245	59	183
246	60	183
247	60	182
248	60	182
249	60	182
250	60	181
251	61	181
252	61	181
253	61	181
254	61	180
255	62	180
256	62	180
257	62	180
258	62	179
259	63	179
260	63	179
261	63	179
262	63	178
263	64	178
264	64	178
265	64	178
266	64	178
267	65	177
268	65	177
269	65	177
270	66	177
271	66	177
272	66	177
273	67	177
274	67	177
275	67	177
276	67	176
277	68	176
278	68	176
279	68	176
280	68	175
281	68	175
282	69	175
283	69	175
284	69	174
285	69	174
286	70	174
287	70	173
288	70	173
289	70	173
290	71	173
291	71	172
292	71	172
293	71	172
294	72	172
295	72	171
296	72	171
297	72	171
298	73	171
299	73	171
300	73	170
301	73	170
302	74	170
303	74	170
304	74	170
305	74	169
306	75	169
307	75	169
308	75	169
309	75	169
310	76	168
311	76	168
312	76	168
313	77	168
314	77	168
315	77	168
316	77	167
317	78	167
318	78	167
319	78	167
320	78	166
321	79	166
322	79	166
323	79	166
324	80	166
325	80	166
326	80	165
327	80	165
328	80	165
329	81	165
330	81	164
331	81	164
332	82	164
333	82	164
334	82	163
335	82	163
336	82	163
337	83	162
338	83	162
339	83	162
340	84	162
341	84	162
342	84	161
343	84	161
344	84	161
345	85	161
346	85	160
347	85	160
348	85	160
349	86	160
350	86	159
351	86	159
352	86	159
353	87	159
354	87	158
355	87	158
356	87	158
357	88	157
358	88	157
359	88	157
360	88	157
361	89	156
362	89	156
363	89	156
364	89	156
365	89	155
366	90	155
367	90	155
368	90	155
369	91	155
370	91	154
371	91	154
372	91	154
373	92	154
374	92	153
375	92	153
376	92	153
377	92	152
378	93	152
379	93	152
380	93	152
381	93	151
382	94	151
383	94	151
384	94	151
385	94	150
386	95	150
387	95	150
388	95	150
389	95	149
390	96	149
391	96	149
392	96	148
393	96	148
394	96	148
395	97	148
396	97	147
397	97	147
398	97	147
399	98	147
400	98	146
401	98	146
402	98	146
403	99	146
404	99	145
405	99	145
406	99	145
407	100	145
408	100	144
409	100	144
410	101	145
411	101	145
412	102	145
413	102	144
414	102	144
415	102	144
416	103	144
417	103	143
418	103	143
419	103	143
420	104	143
421	104	142
422	104	142
423	104	142
424	104	141
425	105	141
426	105	141
427	105	141
428	105	140
429	106	140
430	106	140
431	106	140
432	106	139
433	107	139
434	107	139
435	107	139
436	107	138
437	107	138
438	108	138
439	108	138
440	108	137
441	108	137
442	109	137
443	109	137
444	109	136
445	109	136
446	110	136
447	110	136
448	110	135
449	110	135
450	111	135
451	111	135
452	111	134
453	111	134
